Model,class imbalance technique,ROC-AUC,churn Recall-1,Non-churn Recall-0,Precision,F1 Score,Confusion Matrix,Accuracy
GradientBoosting,OverSampling,0.8719459058442108,0.7616707616707616,0.8148148148148148,0.512396694214876,0.6126482213438735,"[[1298  295]
 [  97  310]]",0.804
GradientBoosting,TomekLinks,0.8713320408235663,0.5331695331695332,0.9541745134965474,0.7482758620689656,0.6226685796269728,"[[1520   73]
 [ 190  217]]",0.8685
GradientBoosting,AllKNN,0.8699454462166327,0.7199017199017199,0.8462021343377275,0.5446096654275093,0.6201058201058202,"[[1348  245]
 [ 114  293]]",0.8205
GradientBoosting,None,0.8690632080462589,0.5036855036855037,0.9642184557438794,0.7824427480916031,0.6128550074738416,"[[1536   57]
 [ 202  205]]",0.8705
XGBoost,TomekLinks,0.8684069277289616,0.5282555282555282,0.9541745134965474,0.7465277777777778,0.6187050359712231,"[[1520   73]
 [ 192  215]]",0.8675
GradientBoosting,UnderSampling,0.8678061728909185,0.769041769041769,0.8016321406151915,0.49761526232114467,0.6042471042471043,"[[1277  316]
 [  94  313]]",0.795
XGBoost,UnderSampling,0.8666864090592904,0.769041769041769,0.8066541117388575,0.5040257648953301,0.6089494163424124,"[[1285  308]
 [  94  313]]",0.799
XGBoost,None,0.8661249847690526,0.4864864864864865,0.9673571876961707,0.792,0.6027397260273972,"[[1541   52]
 [ 209  198]]",0.8695
GradientBoosting,SMOTE,0.8653291195664077,0.687960687960688,0.8782172002510985,0.5907172995780591,0.6356413166855845,"[[1399  194]
 [ 127  280]]",0.8395
XGBoost,AllKNN,0.8645525340440595,0.742014742014742,0.8367859384808537,0.5373665480427047,0.6233230134158927,"[[1333  260]
 [ 105  302]]",0.8175
RandomForest,None,0.8645440509847289,0.44963144963144963,0.9730069052102951,0.8097345132743363,0.5781990521327014,"[[1550   43]
 [ 224  183]]",0.8665
RandomForest,TomekLinks,0.864366677926,0.5110565110565111,0.9623352165725048,0.7761194029850746,0.6162962962962963,"[[1533   60]
 [ 199  208]]",0.8705
RandomForest,OverSampling,0.8636710670608976,0.7051597051597052,0.8537350910232266,0.551923076923077,0.6192017259978425,"[[1360  233]
 [ 120  287]]",0.8235
GradientBoosting,SMOTETomek,0.862849752680261,0.6805896805896806,0.879472693032015,0.5906183368869936,0.632420091324201,"[[1401  192]
 [ 130  277]]",0.839
XGBoost,SMOTEENN,0.8627333034112695,0.7469287469287469,0.8116760828625236,0.5033112582781457,0.6013847675568744,"[[1293  300]
 [ 103  304]]",0.7985
RandomForest,SMOTETomek,0.861528708986336,0.7125307125307125,0.8487131198995606,0.5461393596986818,0.6183368869936035,"[[1352  241]
 [ 117  290]]",0.821
GradientBoosting,ADASYN,0.8611546831885815,0.6609336609336609,0.8826114249843063,0.5899122807017544,0.6234067207415991,"[[1406  187]
 [ 138  269]]",0.8375
GradientBoosting,SMOTEENN,0.8611462001292511,0.7837837837837838,0.7645951035781544,0.4596541786743516,0.5794732061762035,"[[1218  375]
 [  88  319]]",0.7685
RandomForest,UnderSampling,0.8592907236975035,0.7567567567567568,0.7997489014438167,0.49122807017543857,0.5957446808510638,"[[1274  319]
 [  99  308]]",0.791
RandomForest,SMOTE,0.8587370112793842,0.687960687960688,0.8537350910232266,0.5458089668615984,0.6086956521739131,"[[1360  233]
 [ 127  280]]",0.82
RandomForest,AllKNN,0.8581555361216378,0.7027027027027027,0.8443188951663528,0.5355805243445693,0.6078639744952179,"[[1345  248]
 [ 121  286]]",0.8155
XGBoost,SMOTETomek,0.857268670827993,0.6167076167076168,0.9033270558694287,0.6197530864197531,0.6182266009852216,"[[1439  154]
 [ 156  251]]",0.845
XGBoost,SMOTE,0.8569509416967043,0.6240786240786241,0.9152542372881356,0.6529562982005142,0.6381909547738693,"[[1458  135]
 [ 153  254]]",0.856
XGBoost,OverSampling,0.8562568732060257,0.6928746928746928,0.8662900188323918,0.5696969696969697,0.6252771618625277,"[[1380  213]
 [ 125  282]]",0.831
RandomForest,ADASYN,0.8562106019733138,0.6855036855036855,0.8549905838041432,0.5470588235294118,0.608505997818975,"[[1362  231]
 [ 128  279]]",0.8205
